connector,metadata_schema_version,namespace,provider_ref,default_title,title_hash,consistency_state,is_generic,observed_row_count,term_fingerprint,prior_state,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-10,carrot,b96482290a873ee9875236c0b4455988a10a7ec28bba60419d449429d0ced0e0,consistent,0,33,3e052a0c954a351790ed0fed8be3fb5c53b53bf55ef71bd5157226f38a3913e4,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1002,blueberry,ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c,consistent,0,2,cc41fc91575ea41159b1ba33f889e70f40665a15829b78b615345424a1730b2a,D1,D1,blueberry,[],operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed exact title-to-existing-identity assertion; provider reference remains owner context only,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-100232,barbecue seasoning,cb463258e92ea9b983e1e4922bbfdd2eb6ea2c0b207f19b3f85b96b20e32f971,consistent,0,1,bf6afb84dad9be38169c7ceb31d03ff488c5be6bd06ca2a6cfabaf82af266f4d,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-101,"peanut, roasted (oil-roasted or dry-roasted), unsalted",fdfcaae71a8f711dda71555bafd2df27c322df1708a67de670b2cbf419c800ba,consistent,0,3,83c9973e0b7800bde13627d0574adca5c0bdfe2cb16ba7e47103d0b76a5ba445,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-102,"walnut, shelled, halved",0cd582656b1b1b21e7ae6b8e842b11d93d121bef90c1cc9fd10a44d49e6d6b96,consistent,0,2,ebb78af3bd5744aa0f194720c0330cddd03293934de6e2e1865b9e794f851d6c,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-10281,"preservative, type ""Dr. Oetker Einmachhilfe""",84296e17d18edd5222cd0d4af7f30edb4c1e2b2c73423030a1dcd8543a6dad38,consistent,0,1,3f8bef9e26e8947b3e50705f5140b9726ba7fbb47aba15302fff3a884716f782,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-103,"red chilli, fresh",1fe3b9e4dfbe31966388d8d3f55db2144a7f69286def1abb4817e1d1a963c61d,consistent,0,4,281fa2ef31042686c0bf91fb6f41a4805bf5b813777494e8f7acf2ebdae6d81c,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1034,"fennel seed, dried",002577d9415a234d2c2c7dd1065745a4a0e668b4288bb1e7f3bd180b55553287,consistent,0,4,6e9b4517477f9b80dc587bc0fd64a23c66cc79a22f3166b915b0be2ff7d8cf58,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-104,"cumin, ground",16b76cf3eea131843aa1d7880808a88702a218c1e1030685dbd7163121abe873,consistent,0,11,f5a76e620cbf3f6f03844eec4b157c31fdc55f38d3a64cc21b69a7bf87dd0f13,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1040,"prawn, raw, peeled",70a77d6bb26e52563159964016ab80a67c2b915d8abb694799fb140e81fc98e7,consistent,0,2,a79d6d75a3215cac996747a9bcf97f2039fdcfe0fdca0f68799875cef1e1ff7a,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1041,pear,97cfbe87531abe0c6bac7b21d616cb422faaa158a9f2ae7e8685c79eb85fc65e,consistent,0,2,417846f680452617cca27f6deb5c4abfb780992438e26115c8a53924ef146e44,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-105,brown sugar,d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b,consistent,0,15,980a77000840842d4de4d42d50df44c94bc31018d74fb8aa86c6609aa0300629,D2,D2,sugar,"{""refinement"":""brown""}",operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed exact title-to-existing-identity assertion; provider reference remains owner context only,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1050,pepperoni sausage,1ad27289d20ef80506a77211e6198b797d63697bcaa541de8ce36907232f9493,consistent,0,1,014bcf70827b8ca0b540d91c4c09648ca6416faa6432aefcf187ad6502e1b5c7,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1053,"olive, black, pitted",2780f45ff15716659177dfff9a383864ff591bb58b832f3717e70b367fd251a4,consistent,0,2,55af5a3cfb4198f7b5985baa87d38d9240caf32a5a136ecdecb5a24ecc77235b,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1055,pork loin,551c4f57d7c1cd5f11f7fe4a6a5231698f04f961ca7e9ef7327c6d34e9abdacf,consistent,0,1,e32615e70e1063061565d8cde19e7a9834b8e9f0d27604aff6f8d817c1711fcb,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-106,"pasta, dried, type spaghetti",65c134c8537d13a74a172bfe7e18be5df36b62579f59777a5d8e3e9d129836ae,consistent,0,3,e979b4703284c78178bee514141a2a079eed9d15b6a556df42b0a8c232b22829,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-108,dark chocolate,dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be,consistent,0,3,68344971db36ad146bcedab38883bbb59bd472b5e2f28d6a538e7e3c1e5dc7f5,D2,D2,chocolate,"{""chocolate_class"":""dark""}",operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed exact title-to-existing-identity assertion; provider reference remains owner context only,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-109,orange juice,bb3c78a5ebceae972f96ce02703dc26cc38605228683877d214c3d8138cf0b0b,consistent,0,1,7cad884bab602b62a2b7984ed00b3e2143d0ac266ef82ed0bb6ce4d8d4d078cd,D1,D1,orange-juice,[],operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed exact title-to-existing-identity assertion; provider reference remains owner context only,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-11,"ginger, fresh root",918634fd237c644b724933168df595bd5fcf1e2f40c3afc133db829a3a1d2f4e,consistent,0,43,1b6793b5051c9fb42bbe81d46a1ed61d35c9c4eff6127ecf139760d5e76239c4,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1115,"allspice, ground",054c4d077d39a22f4b3893ba03c33dff26f65a978d28c81f02662e9e8c259e77,consistent,0,1,b1ac2880b629115dc51e6c0433c14eef1923979f07465d7c8f78a96a57502322,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1118,"rice, white, type basmati",7225ea481abae8d365e245b3febfeadcd2e83c80b2a5d81d68fc76b872753912,consistent,0,2,c76c56b4fb96b9384e54894ea6b959262eff5479e8e6d9a006056c00df1f8bc0,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1119,bread,985604c2b60243122c24d4e18363e6434c535923be05f760204a1aef023aae9b,consistent,0,3,eb6de78910c6e40313f6e9c215021eed1decbb8f720c3b1cf2e1aa0f5206a4d5,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1122,"cashew nut, raw",5ff16ee17e03d76571328dd7066836dc44699e299154b9aab1ba15b31dea0c82,consistent,0,5,36d5038e5a22ccc0a6ae6dd753a42970ec029a535b7a2c1d69f3431b1d08bde4,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1125,chorizo,79e82f84f57a169c800a9d657a1a43b53f1e17a573584b05de68af5e27096904,consistent,0,1,84da63163755ee8dbafd61b9a3f575d9e8f6ef140dcd8948dc7fbc651ec779dc,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1126,cider,fa09ff01e455a3a63e7826963881fa563e254ffa351579cbfd9e86fda1a366c7,consistent,0,3,98dd344d905508a15e5ca17603ea17ab9e1539f17c24cce2590e73d37f16ea80,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1128,Emmental cheese,d0333fddb19e91556666cec4db42632c71ff155ab798043cc10c411955693cb5,consistent,0,2,f47440e2eb3d0cf9d8b88a78aa066888f42a7e7acbc7c15dcec6de9344bbb951,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-113,strawberry,5e737f891db1175442a39fde73e51d781a545506d71c95477a6deb5988bd7f9a,consistent,0,2,066328d818709ab673b13b8ead9becae4edb54ebd34eb63649a07b36f29f5ef2,D1,D1,strawberry,[],operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed exact title-to-existing-identity assertion; provider reference remains owner context only,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1131,green lettuce leaf,b4eed0fd6c66fa22f72409ca053d3160d59c4a15849a4abcd525d8c3b4fcdb36,consistent,0,2,fc8765652946a467971e25888ae67549eb8df2219227170ddc9a60aa2d74fcc5,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1134,iceberg lettuce,44105fe2d0aaa09069cbd3bde117b17103e6daa5524c20823da9892f65834643,consistent,0,1,dac52a84d8c12eef5aa42d379a4f7f23f3e27ca0fbd9f8b6bcabc3cc1658358a,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1135,ketchup,0bc3a5ae30466de3d77b506d364eabc28b1b7ceea061c2519328c7be72827483,consistent,0,13,5192bd7a85854f99c0177764e5149b07e26f82395637d0f247bcceb648751e50,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1137,liquid caramel,9f4dad7784e86601ef65f00ad606cf64428f49c4d98b40f4cc3209c9d77293f5,consistent,0,1,0824c887dc379e78ebc87429d8d396f71e74b8262466ca42b90467e85af130b1,D8,D8,,{},operator-corrective-review-v2,full-ontology-resolution-v2,Reviewed provider-specific unresolved term,full-ontology-resolution/pilot-provider-workbook.csv
