case_id,review_key,owner_fingerprint,connector,metadata_schema_version,provider_ref,title_hash,normalized_local_label,evidence_allowed,source_citation,reviewer
v313-pos-038,c4af63df4677601d32ff28e92448ca568a51f81dd684e07933921970782ff440,3a779d8a03cab73ba53ef21fab1b4ee5b4e8101feb14bcb6bebfff5cef69b4da,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-259,885e64fbba0a02fe96ca2e9b7a1cd9832aa11aacc9a31168e1dcb338e9572132,chopped spring onions,1,frozen provider-pilot recipe_source_ingredients.id=2171,operator-corrective-review-v3
v313-pos-039,aef9e8f5ecd455fa1435c993a7b52cf66d6b3bafdeeeef94eee4e22b0f1327ed,6a31a3cd3d54cc3f295d3b0777ec0ea3b7310c85d81a9fca3f4562bd26ed1a8e,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-1002,ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c,fresh blueberries,1,frozen provider-pilot recipe_source_ingredients.id=1447,operator-corrective-review-v3
v313-pos-040,b209964155ff9ab925c5819746bdc116432477e6d0badbb4a7a828bf25a83240,813fc678bfa1fb19627676d9563ee79acf8c458697eb307cdd60340367d7f0ab,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-30,5ed728c2fa5d767bc6c1ec6a732db1e37c343be46913e6498d340f7782691f14,fresh tomatoes,1,frozen provider-pilot recipe_source_ingredients.id=410,operator-corrective-review-v3
v313-pos-041,1d9c74b47a74a1a32508a62024ea50cbe7ab984a8a66a6c24a9181b71f71c1e0,59119a58b23b8118f994701055f86ff7cd176edcffcec127879eb568f1fa0923,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-60,7a27b49d802e7afe175331b6fb35e946fbab6849f7e48bd4c184177750fe9cc3,freshly squeezed lime juice,1,frozen provider-pilot recipe_source_ingredients.id=1530,operator-corrective-review-v3
v313-pos-042,81025a637496d36e46986403c4e8c9b5d0e9551b8aa95083362268c61da48ec4,f6acb586e8aab800a47951863d38dd77a8dfe25f2cf8aad01a6b42323c20a62b,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-9,cc767fb1c6efc232caf9dd1f6e853d853b58ddd2c058c8820320e69d755c18fb,granulated sugar,1,frozen provider-pilot recipe_source_ingredients.id=373,operator-corrective-review-v3
v313-pos-043,9c56e769ad11c17f7ce8bf685d375f77ffdaffe8eef21b864ba1ca4c5c6dbaf6,7c815b470e66f336c4911f84231fc9d35a02b30bf9785ef1a8bf6e09b1b1712e,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-2765,67aa6b6c143c668356e0bf2568c44deafba7758bc84b5d53372d41cab0d5fa98,ground paprika,1,frozen provider-pilot recipe_source_ingredients.id=1772,operator-corrective-review-v3
v313-pos-044,39354be090ba9d091439527fa66510150e198d87408f5d34cc15dad672b66cfb,3693ba61faa05c792e30ac2008bc6385ce388aa235831b378074ab2ab96af3b1,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-256,eb31a331ca00003eaf7da5003795d7dd0a6b88438dbeecc3c74f78a9a1cb87dc,large red onions,1,frozen provider-pilot recipe_source_ingredients.id=2999,operator-corrective-review-v3
v313-pos-045,6ad4571a44533196448d93c2497a199a9a3f158ea634eff6742ce49c1d42c332,6afa840bf9a263e890a23ed85e87bbc8a6fe392cbe88a3866635813b305d1316,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-224,b5508392157fa1c40dcab78b7a43b66ece775fd4bbb6e04a1b426db2d42310d7,low moisture mozzarella,1,frozen provider-pilot recipe_source_ingredients.id=2397,operator-corrective-review-v3
v313-pos-046,c6e7bd0ffda4f754648d95240feb559ccc7e233318d3ffbec4092355d35f1b47,fb8d2a9dd65bd910c22db977d7de0dfd62a3087785a553f4da61051263b0f4c5,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-1450,62d74ac3c5bcc094610be12c34f0878e4267ed6b95b5c0f5ed142681b2d90db9,rice wine vinegar unseasoned,1,frozen provider-pilot recipe_source_ingredients.id=483,operator-corrective-review-v3
v313-pos-047,3e5b074c2990709a9f62a927580274bbc04fd9e377e788f9b95c1fe86ee68c6c,b6049cd34324c3c654e82b39609eb19014ec6572aacd6c305afdb5c542c5d37a,cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf-82,a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6,runny honey,1,frozen provider-pilot recipe_source_ingredients.id=1704,operator-corrective-review-v3
